"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - test_returned_episode_returns","pqn_Breakout-MinAtar - test_returned_episode_returns__MIN","pqn_Breakout-MinAtar - test_returned_episode_returns__MAX"
"1785856","436","436","436","8.454179763793945","8.454179763793945","8.454179763793945"
"1789952","437","437","437","8.454179763793945","8.454179763793945","8.454179763793945"
"1794048","438","438","438","8.454179763793945","8.454179763793945","8.454179763793945"
"1798144","439","439","439","8.454179763793945","8.454179763793945","8.454179763793945"
"1802240","440","440","440","8.454179763793945","8.454179763793945","8.454179763793945"
"1806336","441","441","441","8.454179763793945","8.454179763793945","8.454179763793945"
"1810432","442","442","442","8.454179763793945","8.454179763793945","8.454179763793945"
"1814528","443","443","443","8.454179763793945","8.454179763793945","8.454179763793945"
"1818624","444","444","444","8.454179763793945","8.454179763793945","8.454179763793945"
"1822720","445","445","445","8.454179763793945","8.454179763793945","8.454179763793945"
"1826816","446","446","446","8.454179763793945","8.454179763793945","8.454179763793945"
"1830912","447","447","447","8.454179763793945","8.454179763793945","8.454179763793945"
"1835008","448","448","448","8.454179763793945","8.454179763793945","8.454179763793945"
"1839104","449","449","449","8.454179763793945","8.454179763793945","8.454179763793945"
"1843200","450","450","450","8.454179763793945","8.454179763793945","8.454179763793945"
"1847296","451","451","451","8.454179763793945","8.454179763793945","8.454179763793945"
"1851392","452","452","452","8.454179763793945","8.454179763793945","8.454179763793945"
"1855488","453","453","453","8.454179763793945","8.454179763793945","8.454179763793945"
"1859584","454","454","454","8.454179763793945","8.454179763793945","8.454179763793945"
"1863680","455","455","455","8.454179763793945","8.454179763793945","8.454179763793945"
"1867776","456","456","456","8.454179763793945","8.454179763793945","8.454179763793945"
"1871872","457","457","457","8.454179763793945","8.454179763793945","8.454179763793945"
"1875968","458","458","458","8.454179763793945","8.454179763793945","8.454179763793945"
