"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"933888","228","228","228","0.550000011920929","0.550000011920929","0.550000011920929"
"937984","229","229","229","0.550000011920929","0.550000011920929","0.550000011920929"
"942080","230","230","230","0.550000011920929","0.550000011920929","0.550000011920929"
"946176","231","231","231","0.550000011920929","0.550000011920929","0.550000011920929"
"950272","232","232","232","0.550000011920929","0.550000011920929","0.550000011920929"
"954368","233","233","233","0.550000011920929","0.550000011920929","0.550000011920929"
"958464","234","234","234","0.550000011920929","0.550000011920929","0.550000011920929"
"962560","235","235","235","0.550000011920929","0.550000011920929","0.550000011920929"
"966656","236","236","236","0.550000011920929","0.550000011920929","0.550000011920929"
"970752","237","237","237","0.550000011920929","0.550000011920929","0.550000011920929"
"974848","238","238","238","0.550000011920929","0.550000011920929","0.550000011920929"
"978944","239","239","239","0.550000011920929","0.550000011920929","0.550000011920929"
"983040","240","240","240","0.550000011920929","0.550000011920929","0.550000011920929"
"987136","241","241","241","0.550000011920929","0.550000011920929","0.550000011920929"
"991232","242","242","242","0.550000011920929","0.550000011920929","0.550000011920929"
"995328","243","243","243","0.550000011920929","0.550000011920929","0.550000011920929"
"999424","244","244","244","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1003520","245","245","245","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1007616","246","246","246","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1011712","247","247","247","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1015808","248","248","248","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1019904","249","249","249","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1024000","250","250","250","0.6739130616188049","0.6739130616188049","0.6739130616188049"
"1028096","251","251","251","0.6739130616188049","0.6739130616188049","0.6739130616188049"
